question,option_A,option_B,option_C,correct_answer,justification
¿Qué es el estrés en el deporte de alto rendimiento?,Un estado permanente de relajación.,Una respuesta física y psicológica ante demandas percibidas como superiores a los recursos del deportista.,Una emoción pasajera sin consecuencias.,option_B,"El estrés surge cuando el deportista siente que las exigencias superan su capacidad de afrontamiento, afectando cuerpo y mente."
¿Cuál de los siguientes factores puede generar más estrés en deportistas de alto rendimiento?,La práctica recreativa sin competencia.,La presión por obtener resultados y mantener el rendimiento.,El descanso activo entre entrenamientos.,option_B,La exigencia constante de ganar y no cometer errores es una de las principales fuentes de estrés en este nivel.
¿Qué tipo de estrés puede ayudar al deportista a rendir mejor?,El distrés.,El eustrés.,El estrés crónico.,option_B,"El eustrés es el “estrés positivo”, que motiva, enfoca y mejora el rendimiento sin generar daño."
¿Cuál de los siguientes síntomas pertenece al estrés negativo o distrés?,Mayor concentración y motivación.,Estado de alerta y energía.,"Ansiedad, irritabilidad y fatiga constante.",option_C,El distrés provoca síntomas físicos y emocionales que afectan el bienestar y el desempeño.
¿Qué papel juega el entrenador en el manejo del estrés del atleta?,"Ninguno, el deportista debe manejarlo solo.",Es un agente clave al ofrecer apoyo emocional y estrategias de afrontamiento.,Solo debe centrarse en el rendimiento técnico.,option_B,"El entrenador puede ser una figura de apoyo que influye en la motivación, la confianza y el manejo del estrés."
¿Qué técnica psicológica se utiliza comúnmente para reducir el estrés deportivo?,Ignorar las emociones negativas.,Competir más para “acostumbrarse”.,La relajación progresiva y la visualización.,option_C,Estas técnicas ayudan a controlar la activación fisiológica y preparan mentalmente al atleta para la competencia.
¿Qué sucede cuando el estrés se mantiene por mucho tiempo sin control?,Mejora el rendimiento a largo plazo.,"Aumenta el riesgo de lesiones, agotamiento y burnout.",No tiene consecuencias si el atleta es disciplinado.,option_B,"El estrés crónico deteriora tanto la salud física como la mental, afectando el rendimiento y la motivación."
¿Cuál es una fuente interna de estrés para el deportista?,El miedo al fracaso o a decepcionar.,El clima o las condiciones externas.,La logística del viaje a la competencia.,option_A,"Las fuentes internas provienen de pensamientos, emociones o inseguridades del propio atleta."
¿Qué característica tienen los deportistas con buena tolerancia al estrés?,Son indiferentes ante los resultados.,Evitan las competencias difíciles.,Poseen habilidades de afrontamiento y autoconfianza.,option_C,La autoconfianza y el manejo emocional permiten afrontar la presión sin perder el control ni la motivación.
¿Por qué el apoyo psicológico es importante en el deporte de alto rendimiento?,Porque sustituye el entrenamiento físico.,Porque elimina completamente el estrés.,"Porque enseña a manejar el estrés, mejorar la concentración y mantener el equilibrio emocional.",option_C,"El acompañamiento psicológico optimiza el rendimiento mental y emocional, fortaleciendo la preparación integral del atleta."
